time,thetadot_0(t),thetadot_1(t),theta_0(t),theta_1(t),p_0(t),p_1(t),V,T,L,E,V_1,V_0,H,T_0,T_1
0.0,9.371069245283019,0.0,0.0,0.0,4.6855346226415096,2.3427673113207548,0.0,21.954234699972314,21.954234699972314,21.95423469997231,0.0,0.0,21.954234699972314,10.977117349986157,10.977117349986157
0.010001000100010001,9.312318713191225,0.09935804638891074,0.09352315263432388,0.0003330139320462753,4.680891088075716,2.342817513804607,0.04287098591590066,21.91136372255744,21.86849273664154,21.95423470847334,0.021435628946964158,0.02143535696893739,21.95423470847334,10.839909977006434,11.071453745551008
0.020002000200020003,9.144895660469613,0.3824121173197602,0.18590117410084409,0.0026024421376508755,4.666449295664569,2.3435275964472146,0.16904208922533925,21.785192631939534,21.6161505427142,21.954234721164873,0.08452934963758629,0.08451273958775385,21.95423472116487,10.453639580109495,11.331553051830042
0.030003000300030003,8.890850434247167,0.8109731334511753,0.2761502018557094,0.008467974804298516,4.640948108646426,2.3462973831186553,0.37185490976921187,21.582379823936833,21.210524914167625,21.954234733706045,0.18601538457409816,0.1858395251951137,21.954234733706052,9.880902680519128,11.701477143417705
0.040004000400040006,8.576021307589764,1.3384904931187507,0.3635338362511237,0.019152847399629844,4.602985782528044,2.3527418622758587,0.6420213556932115,21.312213382455994,20.67019202676278,21.954234738149207,0.32146049130063226,0.320560864392581,21.95423473814919,9.193517683529207,12.118695698926789
0.05000500050005001,8.222359847453916,1.9225644472345071,0.44755914045479217,0.035427845687249465,4.551576564248434,2.3641148539690566,0.9693029631949805,20.984931775954237,20.015628812759257,21.954234739149218,0.48619042654404687,0.48311253665093457,21.954234739149225,8.450900182627798,12.53403159332644
0.060006000600060005,7.84492685760588,2.530553796691624,0.5279189595325329,0.057686571667922196,4.4864372105402435,2.3810039939484335,1.3437195276771696,20.610515232376844,19.26679570469968,21.954234760054014,0.6759392742047385,0.6677802534724329,21.95423476005401,7.692859675148258,12.917655557228588
0.07000700070007002,7.4523825622169415,3.1398072203875804,0.6044234970699068,0.0860473139445822,4.4080199466943375,2.403283027739451,1.7561865854813732,20.198048193890294,18.441861608408917,21.954234779371664,0.8871670190379906,0.8690195664433835,21.954234779371667,6.9422507317043936,13.2557974621859
0.08000800080008001,7.048830800976192,3.7356235244116553,0.6769451145714952,0.12044358117810568,4.317402597739232,2.4302109943554413,2.1987379004594256,19.755496885478472,17.556758985019048,21.9542347859379,1.117136243196823,1.0816016572626026,21.9542347859379,6.210751957598832,13.544744927879641
0.09000900090009001,6.635676589564805,4.308957091558743,0.7453823386899942,0.1606918856109632,4.216129787204241,2.460583711047585,2.6645231144269435,19.289711679305224,16.62518856487828,21.95423479373217,1.3638575632412717,1.3006655511856722,21.95423479373217,5.5040254751623,13.785686204142923
0.10001000100010002,6.21302413911477,4.8546223830002875,0.8096402926605233,0.2065388177449198,4.1060550593805365,2.4928868590509516,3.1477130581576382,18.80652177235082,15.658808714193182,21.954234830508454,1.6259805595399968,1.521732498617642,21.954234830508454,4.825208619152854,13.981313153197963
0.11001100110011001,5.780589840531662,5.370076587289539,0.8696226159986074,0.25769312980855047,3.989202090547235,2.5254318150050783,3.643383226710693,18.310851669499957,14.667468442789264,21.95423489621065,1.9026720409026003,1.7407111858080926,21.954234896210643,4.176902363057233,14.133949306442723
0.12001200120012001,5.3382477154526455,5.854632146805763,0.9252305656155967,0.31384794264431354,3.867647815435844,2.5564709784417374,4.147405297951314,17.806829643843393,13.659424345892077,21.95423494179471,2.1935007154655866,1.9539045824857286,21.954234941794702,3.5621110839419234,14.244718559901468
0.13001300130013002,4.886337505948937,6.308924334574642,0.9763662769984819,0.3746964963045422,3.7434248658332976,2.5842950258727013,4.656355424705559,17.2978795495358,12.641524124830237,21.95423497424136,2.4983352423982073,2.158020182307353,21.954234974241356,2.9845367777554097,14.31334277178039
0.14001400140014003,4.425843616360815,6.734491086114044,1.022938387188348,0.43994323218296927,3.6184395339779876,2.6073156794053287,5.16743915197087,16.786795857142323,11.619356705171455,21.954235009113194,2.8172568249133088,2.3501823270575617,21.954235009113198,2.4485114645602226,14.338284392582102
0.15001500150015,3.9585318762908415,7.133357097556429,1.064869169556345,0.5093107748955729,3.4944018024364643,2.6241374474908183,5.678429829542809,16.27580520476758,10.597375375224772,21.954235034310386,3.1504843402211105,2.5279454893217,21.95423503431039,1.9587468269513362,14.317058377816242
0.16001600160016002,3.487117493779583,7.507537084339815,1.102103133791322,0.582542416480865,3.3727644273183213,2.63362134282557,6.187617153506022,15.76661786713549,9.579000713629469,21.954235020641512,3.498307634964462,2.689309518541561,21.954235020641516,1.51999855192795,14.246619315207543
0.17001700170017003,3.0155273036936174,7.858387247609625,1.1346177317610053,0.6593989236792771,3.2546686598516015,2.6349429761487597,6.693762754031916,15.260472245102193,8.566709491070277,21.95423499913411,3.8610219594396016,2.832740794592315,21.954234999134105,1.1366756149152124,14.12379663018698
0.18001800180018002,2.549299103265021,8.185756053629753,1.162437349422838,0.7396478831083099,3.1408954255824293,2.627646039583467,7.196059317101751,14.75817568360155,7.562116366499797,21.954235000703303,4.23885333798293,2.9572059791188217,21.9542350007033,0.81236573973848,13.945809943863072
0.19001900190019003,2.0961080669952383,8.4869466877542,1.185651974717345,0.8230435545784637,3.0318242726567317,2.611688707028666,7.694087942814793,14.260147068594865,6.566059125780075,21.954235011409658,4.631861706161038,3.062226236653756,21.954235011409654,0.5492086285653143,13.710938440029551
